Price,Close,High,Low,Open,Volume
Ticker,V,V,V,V,V
Date,,,,,
2019-04-22,154.4077606201172,154.48477373762788,153.12745977165898,153.25259323495737,4602600
2019-04-23,155.62071228027344,155.8324946995038,153.89757484096748,154.98536502258236,6522900
2019-04-24,155.4571075439453,155.976927913627,154.64847686290466,155.70738924953199,7376500
2019-04-25,155.004638671875,155.56297286555403,152.62691145429065,154.5233176106434,8862500
2019-04-26,156.84323120117188,156.93950126267274,154.4077484704412,155.23562105760158,7525400
2019-04-29,158.01763916015625,158.354569651936,157.00687706231216,157.1127682435503,10003600
2019-04-30,158.2872314453125,159.50979100966117,157.79628926848864,158.81668753134952,6432700
2019-05-01,156.70851135253906,159.54831748621905,156.67001212904592,159.3557773024922,5248100
2019-05-02,155.10084533691406,156.98762976715017,154.43662013091895,156.04424489640635,6054900
2019-05-03,155.98648071289062,156.66034176667415,155.15860812477717,156.23677699758136,4317500
2019-05-06,156.21755981445312,156.57373269333576,152.289978258622,152.29961408048553,10442400
2019-05-07,154.22488403320312,155.73622436200284,152.7520282332879,154.93722972510497,6413600
2019-05-08,154.7543182373047,155.65920404180775,153.56065159200347,153.80131208516914,5445900
2019-05-09,153.83982849121094,153.87834240012145,151.29845398695622,152.9253214527438,6813700
2019-05-10,154.70619201660156,155.37040261397289,151.394701406155,152.92529855928285,5192500
2019-05-13,151.45248413085938,152.79055606915819,150.57647629007485,151.31771482371965,9730000
2019-05-14,154.22488403320312,155.48594272549025,152.03968254138607,152.19370878943297,9756700
2019-05-15,156.70851135253906,157.06469894143072,153.15637410733686,153.3681565584334,7547000
2019-05-16,158.95494079589844,159.65876111826614,157.0170590266469,157.58588801758938,9745500
2019-05-17,158.20289611816406,159.27307294289227,157.3448274721276,157.4315949875891,4582500
2019-05-20,157.60516357421875,158.82960371373355,156.5060641129208,157.4894735397707,4747400
2019-05-21,157.9811553955078,158.9452781515621,157.33519491431292,158.67532495677455,9095700
2019-05-22,158.34751892089844,159.68764889709692,157.5858537429227,157.73048097598718,5416400
2019-05-23,155.71543884277344,158.35714011396996,155.05020659343066,157.63404814997924,6138000
2019-05-24,156.804931640625,157.54731031597754,155.91794042977682,156.91098573710394,4105600
2019-05-28,157.83651733398438,159.8226075363581,157.47014603831968,157.53762697042754,10202300
2019-05-29,156.89163208007812,157.63401043801343,155.68647909507803,157.44118890268143,6456000
2019-05-30,156.92059326171875,157.63404930081538,156.13002035854922,156.95916640509898,4750600
2019-05-31,155.54190063476562,156.3132016560991,154.7995221144896,155.1369709086178,5079000
2019-06-03,152.9098358154297,156.98806990941708,151.12620328920215,155.74434363442717,8034600
2019-06-04,156.5060577392578,156.54461617872116,152.95807814342066,154.53923896565607,6684800
2019-06-05,159.4562530517578,159.46588898269098,156.85312469933805,157.63406173392949,7769300
2019-06-06,160.93136596679688,161.39414076273775,159.02240706111337,159.92868479036736,13738500
2019-06-07,163.94906616210938,165.453095202725,161.77979011244963,161.97261170792822,10528800
2019-06-10,164.6914520263672,165.848396361688,164.39256162212635,165.67484662014994,7565900
2019-06-11,164.19972229003906,166.00262689533258,162.37753111302465,165.78088281024552,6082900
2019-06-12,165.4337921142578,165.46271461512498,163.61160100290962,164.2672120156998,6772000
2019-06-13,163.27423095703125,166.02197259645507,162.6668287779164,165.96412757203444,6901400
2019-06-14,163.57308959960938,164.51792589271255,162.78250178502992,163.67914370372742,4999900
2019-06-17,163.4766387939453,164.30578488479986,162.96565495193147,163.6405378837097,6410200
2019-06-18,163.20669555664062,164.54682557109106,161.5387673427063,164.52753899719627,6969300
2019-06-19,164.56610107421875,165.0577983403669,163.1392036402509,163.31273865959338,6323900
2019-06-20,167.5066680908203,167.69948967116554,165.58805879472786,166.32078668457717,11474100
2019-06-21,167.21742248535156,168.538265711187,166.94746934009095,167.05352341225355,11728200
2019-06-24,167.6127166748047,168.46113454279362,166.5232534501027,168.33580861091454,5554900
2019-06-25,165.1349334716797,168.6636260543281,164.46968646053426,168.53828539676599,9899900
2019-06-26,164.92282104492188,166.20510595725105,164.69144102012794,165.24098329035792,7129900
2019-06-27,165.0867156982422,166.214737422844,164.209375275559,165.94478426027317,5873400
2019-06-28,167.32347106933594,167.32347106933594,164.40218092717095,165.7905197494558,8442700
2019-07-01,167.69952392578125,169.2421115949785,166.54257949604667,169.0396540432319,6103200
2019-07-02,168.9914093017578,169.02998244437276,167.08245065993583,167.8537516874563,5238100
2019-07-03,170.52439880371094,170.64010354605603,169.41566344305238,169.68561665627962,4066600
2019-07-05,170.32192993164062,170.67865064441267,168.24905717546616,169.55062878309536,5840400
2019-07-08,169.86875915527344,170.27368887215653,169.10709408127147,169.9748132271721,6720300
2019-07-09,171.35353088378906,171.5077940532926,169.0107196812547,169.13604563404894,4894300
2019-07-10,172.87681579589844,173.79272929578158,172.17301043847365,172.17301043847365,5110600
2019-07-11,174.2555389404297,174.44836053467105,173.02146308367142,173.65777287353345,6986600
2019-07-12,173.86021423339844,174.84362331413024,172.50079796170186,174.84362331413024,7196700
2019-07-15,174.0916290283203,174.57369033963138,173.4842270684384,174.08197838683412,4490400
2019-07-16,172.87681579589844,174.39049529332013,172.31762293953938,173.89878336701076,6800200
2019-07-17,172.72256469726562,173.74454705098051,172.5875881164118,173.1178585095318,3994200
2019-07-18,174.05307006835938,174.1398375807434,172.17303374331397,172.2212428206423,4736300
2019-07-19,172.8093719482422,175.31608234312395,172.71295378594647,175.31608234312395,5327100
2019-07-22,174.0916290283203,174.48690812297414,172.71292602807196,173.194987339383,4862100
2019-07-23,174.40975952148438,174.7664948607429,172.63577759976275,174.4001235922826,7193000
2019-07-24,176.75265502929688,176.8490584935827,172.81903178727086,174.30377459713625,8169300
2019-07-25,175.07505798339844,177.38896156010395,174.79546884077834,177.27325681889337,6085800
2019-07-26,177.0996551513672,177.22499577746595,175.67275804488872,175.86557959257377,5056300
2019-07-29,176.6368865966797,177.4660325205756,176.174097212639,177.29248282372492,4621800
2019-07-30,175.01719665527344,176.8008295766073,174.76653004348373,175.99095530900738,5236600
2019-07-31,171.6138153076172,175.518514609413,169.7434151914609,175.26783332909756,7981200
2019-08-01,172.74183654785156,175.85594828373883,171.77771399210442,172.76112311814245,8417300
2019-08-02,171.05465698242188,171.8741672065815,168.42260598728546,171.61384994423085,8264600
2019-08-05,162.80172729492188,167.27525514374173,160.98917227219022,165.83870731068933,16858300
2019-08-06,166.29190063476562,166.74503953914527,164.02622082421422,165.62665353210843,10281300
2019-08-07,169.02996826171875,169.4252473166229,164.2286274917211,165.3470131522192,8292800
2019-08-08,173.44564819335938,173.49385726516607,170.23513291210745,171.09320142943096,7602800
2019-08-09,172.6261444091797,173.63847602243538,171.4692002988914,173.22389567870442,5373700
2019-08-12,170.0133819580078,172.24050289147286,169.29994062323016,171.0739227412502,7394400
2019-08-13,172.2019805908203,172.5008563166237,167.95984599044553,168.13338103974544,6667700
2019-08-14,167.28494262695312,170.89076721433037,166.9475084719556,169.91700847720512,7293500
2019-08-15,170.19114685058594,170.91528230780554,167.5359835074474,168.2504543963903,6698000
2019-08-16,172.08349609375,172.5855673238114,171.08901819910506,171.8614320762989,8312200
2019-08-19,173.54147338867188,174.1980157678979,171.9773308552357,174.1980157678979,5285000
