Price,Close,High,Low,Open,Volume
Ticker,JPM,JPM,JPM,JPM,JPM
Date,,,,,
2019-01-02,82.91622161865234,83.30863654499312,80.10253448885828,80.11087913455509,15670900
2019-01-03,81.73780822753906,83.2360390786664,81.38429438165912,83.02561325302072,16286400
2019-01-04,84.75114440917969,84.95315149148225,82.72263548633066,83.42125107216832,16935200
2019-01-07,84.81006622314453,85.40767507681531,83.92627477350081,84.53230246220626,15430700
2019-01-08,84.65011596679688,85.70224528249321,83.79158127073127,85.5423195715673,13578800
2019-01-09,84.50702667236328,85.42448033968378,84.11142502803698,84.85212174353482,14230300
2019-01-10,84.49862670898438,84.78480928180909,83.5559163337293,84.18719405478757,14376100
2019-01-11,84.09461975097656,84.31345808936412,83.28657854787467,84.07778208083008,15439900
2019-01-14,84.9615478515625,85.31506175750013,83.04246502311516,83.21922197608397,21258500
2019-01-15,85.58441925048828,86.24936584136,82.99197071380355,83.23606551969483,26504900
2019-01-16,86.27459716796875,87.0742128169482,85.68540736574043,86.0641713212176,18533000
2019-01-17,86.62814331054688,87.11633299802148,85.7864396100829,85.94636536811173,14247600
2019-01-18,88.03376007080078,88.2946925050261,86.5523666338972,87.34356350401754,16428700
2019-01-22,86.64497375488281,87.19207597720673,85.96318944761595,86.76281174938542,17083700
2019-01-23,86.42611694335938,87.28465170079498,85.82850821992798,87.06581341110224,12146700
2019-01-24,86.47662353515625,86.77121850219704,85.80326452787565,85.96318384044714,11296800
2019-01-25,87.02373504638672,87.79810082035029,86.47662641981005,87.12474179060804,14369400
2019-01-28,87.43614959716797,87.73916334431875,86.3503514068256,86.60286500334708,12283100
2019-01-29,87.68025207519531,88.47145542032861,87.30990690185281,87.43615728953316,9743300
2019-01-30,87.88229370117188,88.5809029497322,87.35201621623206,87.65503008714334,12526300
2019-01-31,87.11632537841797,87.36883903514698,86.4682164112908,87.0405751344127,17520600
2019-02-01,87.43614959716797,88.25260294800827,87.13313585001718,87.53715632011406,13000800
2019-02-04,87.74760437011719,87.74760437011719,86.7038936557782,87.36042146676061,9871500
2019-02-05,87.36042022705078,88.00011678171781,86.93956841350204,87.97486027868608,12763000
2019-02-06,87.31832885742188,88.05903212844436,87.09107171306921,87.29307877712588,8745000
2019-02-07,86.17359924316406,87.1163094446139,85.38240234539069,86.9058835763902,13177500
2019-02-08,85.3150863647461,86.13995238318157,84.22086900121715,85.92111404782739,12892600
2019-02-11,84.91104888916016,85.8621779777985,84.81846098811238,85.65175209754233,10978500
2019-02-12,86.3587875366211,86.62813243007231,85.76117875495395,85.81167891569831,12852300
2019-02-13,86.77123260498047,87.4109292243012,86.61131326641755,86.61131326641755,10754100
2019-02-14,86.20726776123047,86.77962637706749,85.30664530619009,86.24935550335925,11518500
2019-02-15,88.84181213378906,88.96806252874306,87.25099294048421,87.45299999409906,14716900
2019-02-19,88.5303726196289,88.69029833637667,87.37723653584004,88.30311550470816,12764900
