Date,Close,High,Low,Open,Volume,SMA_50,SMA_200,EMA_50,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Middle,BB_Lower
2019-01-02,135.16368103027344,136.9867190397798,128.07078008019536,128.49915167841348,28146200.0,,,,,,,,,,,
2019-01-03,131.23867797851562,136.6480071912697,130.62102700930907,134.17744891661195,22717900.0,,,,,,,,,,,
2019-01-04,137.42503356933594,137.4748463364139,133.24101954706782,133.50002465486187,29002100.0,,,,,,,,,,,
2019-01-07,137.52467346191406,138.341545164534,135.392817534611,137.036532614741,20089300.0,,,,,,,,,,,
2019-01-08,141.9876251220703,142.59530447889784,139.00899758602645,139.35767180087274,26263800.0,,,,,,,,,,,
2019-01-09,143.68113708496094,144.1493497440635,140.73240970074326,142.4060092646415,22205900.0,,,,,,,,,,,
2019-01-10,143.65126037597656,144.00989104523853,140.30404586310596,142.53552727192752,16125000.0,,,,,,,,,,,
2019-01-11,143.25279235839844,144.80685356561833,142.02747720666335,142.60525672157422,12908000.0,,,,,,,,,,,
2019-01-14,144.83673095703125,146.01224847862147,140.73241410692157,141.45963190204654,20520300.0,,,,,,,,,,,
2019-01-15,148.38319396972656,150.1066065032322,145.43446624078132,145.45437918978237,24069000.0,,,,,,,,,,,
2019-01-16,146.97854614257812,149.08051737872955,146.44060774123474,148.43299696220393,18025700.0,,,,,,,,,,,
2019-01-17,147.73565673828125,148.43298989226142,145.94250348467315,146.3907879978945,15787900.0,,,,,,,,,,,
2019-01-18,149.46902465820312,151.84992904163107,147.9847044965942,149.18013492496357,31029600.0,,,,,,,,,,,
2019-01-22,147.00845336914062,150.9533757129271,145.8130076157758,148.6322403295151,22378700.0,,,,,,,,,,,
2019-01-23,143.7509002685547,148.23377648149886,142.51561335094905,147.7157509740223,20098400.0,,,,,63.613453509243,,,,,,
2019-01-24,145.2750701904297,145.8827495456538,141.9776682730112,144.08959610394948,20955500.0,,,,,65.41344768598807,,,,,,
2019-01-25,148.4429473876953,149.2598342313556,145.98234558399847,146.9187709118148,22237200.0,,,,,68.86131228597758,,,,,,
2019-01-28,146.90882873535156,148.39316426120794,145.65362892739049,147.48662346620725,15508500.0,,,,,65.4581552658517,,,,,,
2019-01-29,143.6412811279297,147.53640510137242,142.88416361245928,147.52643342834503,17632100.0,,,,,58.793417650737844,,,,,,
2019-01-30,149.8475799560547,150.37556184293186,145.14554054027434,145.66356595407314,44613200.0,,,,,65.8960511428387,,,,153.5683773124205,143.8101547241211,134.05193213582172
2019-01-31,166.05567932128906,171.02668061734465,164.3721080251581,164.9698308619025,77233600.0,,,,,77.03084046774109,,,,158.38165465178525,145.35475463867186,132.32785462555847
2019-02-01,165.0794219970703,168.4565212496211,165.02960922446857,165.208916964966,30806500.0,,,,,75.4332802845783,,,,161.0542163287464,147.04679183959962,133.03936735045284
2019-02-04,168.60594177246094,168.65575454429623,162.99736111987508,165.0694477822882,20036000.0,,,,,77.26732467332323,,,,164.7591401064068,148.60583724975587,132.45253439310494
2019-02-05,170.50868225097656,171.32555397066105,168.04808021610043,168.50632124889987,22557000.0,,,,,78.21244913313215,,,,168.18373620504144,150.255037689209,132.32633917337654
2019-02-06,169.84121704101562,171.81367802562585,168.62585845435612,170.54850667051844,13281200.0,,,,,77.00302124475328,,,,171.05734548491586,151.64771728515626,132.23808908539667
2019-02-07,165.74685668945312,168.59597375510998,164.62115196608914,167.5599228944769,17517600.0,,,,,69.86607312583489,,,,172.7241996397073,152.75100326538086,132.7778068910544
2019-02-08,166.6932373046875,166.73307839871117,163.58511514627205,163.84412025923243,12561400.0,,,,,70.54561953700963,,,,174.2975954928814,153.9031021118164,133.50860873075138
2019-02-11,165.15908813476562,167.65954618945966,164.45179851504895,167.26105924811273,12811200.0,,,,,67.87353437919656,,,,175.34024884922985,154.99841690063477,134.65658495203968
2019-02-12,164.4119415283203,167.69938657715912,163.87400316067004,166.2250229021894,16292300.0,,,,,66.55144548289837,,,,176.15214100477186,155.97717742919923,135.8022138536266
2019-02-13,163.44566345214844,165.5874758684455,163.10694571874262,164.7506760109761,14205100.0,,,,,64.79362921102462,,,,176.83956034132706,156.7303009033203,136.62104146531357
2019-02-14,163.32611083984375,164.2426080994384,161.63258296449007,162.56900837341098,12755200.0,,,,,64.56639998590806,,,,177.33129569307013,157.54767913818358,137.76406258329703
